,code,dist,distc,prob,lmean,dmean,hmean,bmean,alt,name,muni,qind,clno
0,24035150.0,0.0,10.0,3789.0,68.0,13.0,74.0,4.0,2530.0,Belencito,Nobsa,10.0,4
1,24030940.0,3.0,7.0,84.0,60.0,12.0,0.0,0.0,2500.0,Sena,Sogamoso,4.2,4
2,24030790.0,5.0,6.0,84.0,66.0,10.0,0.0,0.0,2500.0,Nobsa,Nobsa,4.2,4
3,24030190.0,7.0,12.0,202.0,65.0,9.0,0.0,0.0,2970.0,Mongui,Mongui,5.6,4
4,24031040.0,11.0,10.0,84.0,70.0,9.0,0.0,0.0,2500.0,Creciente La,Santa Rosa de Viterbo,4.2,4
5,24030410.0,13.0,5.0,84.0,62.0,7.0,0.0,0.0,2500.0,Tibasosa,Tibasosa,4.2,4
6,24035140.0,13.0,4.0,84.0,59.0,10.0,0.0,0.0,2500.0,Venecia Hda,Sogamoso,4.2,4
7,24035340.0,14.0,5.0,316.0,61.0,12.0,75.0,5.0,2500.0,Apto A Lleras C,Sogamoso,6.2,4
8,24030540.0,15.0,6.0,202.0,57.0,9.0,0.0,0.0,2486.0,Firavitoba,Firavitoba,5.6,4
9,24030760.0,16.0,11.0,202.0,65.0,10.0,0.0,0.0,3225.0,Crucero El Villita,Sogamoso,5.6,4
10,24030610.0,19.0,17.0,40.0,69.0,10.0,0.0,0.0,2590.0,Empoduitama,Duitama,3.1,4
11,24030230.0,20.0,12.0,135.0,52.0,9.0,0.0,0.0,2470.0,Iza,Iza,4.9,4
12,24030510.0,22.0,12.0,40.0,74.0,9.0,0.0,0.0,2900.0,Cerezo El,Paipa,3.1,4
